Input Sentences,Output Sentences,Grammatical Error
कृषि बिलों के खिलाफ आ म आदमी पार्टी के पूर्व हलका प्रधान जगदीप सिंह काका बराड़ की अध्यक्षता में शहर में रोष मार्च निकाल स्थानीय घास मंडी चौक में प्रधानमंत्री का पुतला फूंक प्रदर्शन किया गया।,कृषि बिलों के खिलाफ आम आदमी पार्टी के पूर्व हलका प्रधान जगदीप सिंह काका बराड़ की अध्यक्षता में शहर में रोष मार्च निकाल स्थानीय घास मंडी चौक में प्रधानमंत्री का पुतला फूंक प्रदर्शन किया गया।,1
"हिंदी न्यूज़ उत्तर प्रदेश कोरोना लॉकडाउन : लखनऊ प्रशासन ने कागजों पर गरीबों की मिटाई भूख, असल मिदद कर रहे ये लोग","हिंदी न्यूज़ उत्तर प्रदेश कोरोना लॉकडाउन : लखनऊ प्रशासन ने कागजों पर गरीबों की मिटाई भूख, असल मदद कर रहे ये लोग",1
ये भी पढ़े: पंजाब में राम रहीम विवाद के आलिया की फिल्म की रुकी शूटिंग…,"ये भी पढ़े:  पंजाब में राम रहीम विवाद के कारण, आलिया की फिल्म की रुकी शूटिंग…",1
भारतीय जनता पार्टी ओबीसी मोर्ा की बैठक जिलाध्यक्ष की अगुआई में बैठक हुई।,भारतीय जनता पार्टी ओबीसी मोर्चा की बैठक जिलाध्यक्ष की अगुआई में बैठक हुई।,1
"गाजियाबाद हादसा : नगर पालिका की लापरवाही से गई 23 लोगों की जान, JE व ठेकेदार पर केस दर्ज","गाजियाबाद हादसा : नगर पालिका की लापरवाही से गई 23 लोगों की जान, JE व ठेकेदार पर केस दर्ज",0
सीधे छह इंच पाइप लाइन को चेंबर में डाल दिया,सीधे छह इंच पाइप लाइन को चेंबर में डाल दिया,0
3. यहां क्लिक करने के बाद आपके सामने नई विंडो खुल जाएगी जिसमें आपको रजिस्ट्रेशन नंबर/एप्लीकेशन नंबर समेत मांगी गई जानकारी दर्ज करनी होगी. इसके बाद सबमिट बटन पर क्लिक करें.,3. यहां क्लिक करने के बाद आपके सामने नई विंडो खुल जाएगी जिसमें आपको रजिस्ट्रेशन नंबर/एप्लीकेशन नंबर समेत मांगी गई जानकारी दर्ज करनी होगी. इसके बाद सबमिट बटन पर क्लिक करें.,0
"बादाम तेल इस्तेमाल करने के पीछे सबसे बड़ा कारण यह है कि, इसमें किसी भी तरह के रसायनों का उपयोग नहीं होता है. जो त्वचा को किसी भी प्रकार का नुकसान नहीं पहुंचाता है.","बादाम तेल इस्तेमाल करने के पीछे सबसे बड़ा कारण यह है कि, इसमें किसी भी तरह के रसायनों का उपयोग नहीं होता है. जो त्वचा को किसी भी प्रकार का नुकसान नहीं पहुंचाता है.",0
पुलिस के बयान से रूप स्पष्ट से इस बात का पता नहीं चलता कि हमला करने वाला व्यक्ति शरण मांगने वाला था।,पुलिस के बयान से स्पष्ट रूप से इस बात का पता नहीं चलता कि हमला करने वाला व्यक्ति शरण मांगने वाला था।,1
लदम्बा सेक्स नहीं बल्कि इस तरह का सेक्स लड़कियों को जल्द करता है संतुष्ट,लम्बा सेक्स नहीं बल्कि इस तरह का सेक्स लड़कियों को जल्द करता है संतुष्ट,1
