Input Sentences,Output Sentences
ఏదో ఇవ్వాలి కానుక ఎంతో వెతికాను ఆశగా,ఏదో ఇవ్వాలి కానుక ఎంతో వెతికాను ఆశగా
బాలీవుడ్ హీరో బర్త్ డే కానుకగా జక్కన్న ట్రీట్,బాలీవుడ్ హీరో బర్త్ డే కానుకగా జక్కన్న ట్రీట్
తెలంగాణ రాష్ట్ర పారిశ్రామిక మౌలిక సదుపాయాల సంస్థ,తెలంగాణ రాష్ట్ర పారిశ్రామిక మౌలిక సదుపాయాల సంస్థ
"ఇది అన్ని ప్రాంతాలలో అబ్ఖజియా లో ""దాడి"" ప్రారంభమవుతుంది:","ఇది అన్ని ప్రాంతాలలో అబ్ఖజియా లో ""దాడి"" ప్రారంభమవుతుంది:"
సీఎం జగన్ క్యాంపు కార్యాలయం ముందు ఆత్మహత్యాయత్నం,సీఎం జగన్ క్యాంపు కార్యాలయం ముందు ఆత్మహత్యాయత్నం
గున్న ఏనుగు తెలివికి ఖంగుతిన్న అధికారులు!,గున్న ఏనుగు తెలివికి ఖంగుతిన్న అధికారులు!
నల్గొండ బయటపడ్డ నిత్య పెళ్లికొడుకు వ్యవహారం,నల్గొండ బయటపడ్డ నిత్య పెళ్లికొడుకు వ్యవహారం
పవర్ స్టార్ పవన్ కళ్యాణ్ రీ ఎంట్రీ మూవీ వకీల్ సాబ్,పవర్ స్టార్ పవన్ కళ్యాణ్ రీ ఎంట్రీ మూవీ వకీల్ సాబ్
కరోనా కోరల్లో చిక్కుకున్న అనేక దేశాలు,కరోనా కోరల్లో చిక్కుకున్న అనేక దేశాలు
సిద్దనకిచ్చాయపల్లెలో భూ వినియోగం కింది విధంగా ఉంది:,సిద్దనకిచ్చాయపల్లెలో భూ వినియోగం కింది విధంగా ఉంది:
మురళీ మోహనరావు అప్పుడు కో డైరెక్టర్,మురళీ మోహనరావు అప్పుడు కో డైరెక్టర్
రాజా వ్యాఖ్యలను తాను సమర్థించలేదని స్పష్టీకరణ,రాజా వ్యాఖ్యలను తాను సమర్థించలేదని స్పష్టీకరణ
"క్రింది ఫోటో లో సెక్రటరీ జనార్దన్ రెడ్డి, ట్రెజరర్ నాగ భూషణ్, ఆంధ్ర బ్యాంక్ మేనేజర్, ప్రెసిడెంట్ సురేష్ కొండేటి","క్రింది ఫోటో లో సెక్రటరీ జనార్దన్ రెడ్డి, ట్రెజరర్ నాగ భూషణ్, ఆంధ్ర బ్యాంక్ మేనేజర్, ప్రెసిడెంట్ సురేష్ కొండేటి"
తుళ్లూరు సిఐ ధర్మేంద్ర బాబుపై వేటు,తుళ్లూరు సిఐ ధర్మేంద్ర బాబుపై వేటు
సద్గురుడు వ్రాసెనాడు - నా తండ్రి - నీరూపు నీచక్కన,సద్గురుడు వ్రాసెనాడు - నా తండ్రి - నీరూపు నీచక్కన
ఉండ్రుకుడియాలో భూ వినియోగం కింది విధంగా ఉంది:,ఉండ్రుకుడియాలో భూ వినియోగం కింది విధంగా ఉంది:
"ఎంతోసియానిన్స్ న బూజు తెగులు: ఫోటోలు, ఎలా వదిలించుకోవటం ఎలా?","ఎంతోసియానిన్స్ న బూజు తెగులు: ఫోటోలు, ఎలా వదిలించుకోవటం ఎలా?"
చెవిలో ఊదుతున్నదెవరు? ఢిల్లీలో ఉన్న ఆయనేనా?,చెవిలో ఊదుతున్నదెవరు? ఢిల్లీలో ఉన్న ఆయనేనా?
చిరు ముఖ్య అతిధిగా రంగస్థలం ప్రీరిలీజ్,చిరు ముఖ్య అతిధిగా రంగస్థలం ప్రీరిలీజ్
ఏలూరు డీఐజీ - ఏఎస్ ఖాన్,ఏలూరు డీఐజీ - ఏఎస్ ఖాన్
మహేష్ ఢీకొట్టబోయే ఆ తమిళ స్టార్ ఎవరు ?,మహేష్ ఢీకొట్టబోయే ఆ తమిళ స్టార్ ఎవరు ?
ఉత్తర కొరియాలో తొలి కరోనా కేసు నమోదు,ఉత్తర కొరియాలో తొలి కరోనా కేసు నమోదు
డాబాలో గాలిపటం ఎగరేస్తుండగా హైటెన్షన్ వైర్ షాక్,డాబాలో గాలిపటం ఎగరేస్తుండగా హైటెన్షన్ వైర్ షాక్
అలాంటి ప్రశ్నలు అడగడం నాకు నచ్చదు: యాంకర్ రష్మీ,అలాంటి ప్రశ్నలు అడగడం నాకు నచ్చదు: యాంకర్ రష్మీ
మేడమ్ పెళ్లి డేట్ ఏమిటో తెలుసా ?,మేడమ్ పెళ్లి డేట్ ఏమిటో తెలుసా ?
చౌటుప్పల్ రిజర్వ్ ఫారెస్ట్ భూమి కబ్జా,చౌటుప్పల్ రిజర్వ్ ఫారెస్ట్ భూమి కబ్జా
చైనీస్ మోడల్ మరియు ఇండియన్ మోడల్ మధ్య తేడా ఏమిటి?,చైనీస్ మోడల్ మరియు ఇండియన్ మోడల్ మధ్య తేడా ఏమిటి?
అత్యంత బలహీన భారత ప్రధాని మోదీయే: లాలూ చురక,అత్యంత బలహీన భారత ప్రధాని మోదీయే: లాలూ చురక
వెయ్యి కుటుంబాల సాయం ఊరికే పోదు గోపీ!,వెయ్యి కుటుంబాల సాయం ఊరికే పోదు గోపీ!
- ఈ ఘటనలో  బాజీ తలకు బలమైన గాయం,- ఈ ఘటనలో  బాజీ తలకు బలమైన గాయం
యాపిల్ ను మనం చర్మంపై వాడినప్పుడు ఏం జరుగుతుంది,యాపిల్ ను మనం చర్మంపై వాడినప్పుడు ఏం జరుగుతుంది
"ఖమ్మం జిల్లాలో రోడ్డు ప్రమాదం,మాజీ ఎమ్మెల్యేకు గాయాలు","ఖమ్మం జిల్లాలో రోడ్డు ప్రమాదం,మాజీ ఎమ్మెల్యేకు గాయాలు"
టీ ట్వంటీలు తక్షణ సంతృప్తినిస్తాయి: సుస్మితా సేన్,టీ ట్వంటీలు తక్షణ సంతృప్తినిస్తాయి: సుస్మితా సేన్
"తమిళనాడులో 'అమ్మ' పథకాలు, ప్రకటనలపై కోర్టులో వ్యాజ్యం","తమిళనాడులో 'అమ్మ' పథకాలు, ప్రకటనలపై కోర్టులో వ్యాజ్యం"
అచాయిపల్లిలో భూ వినియోగం కింది విధంగా ఉంది:,అచాయిపల్లిలో భూ వినియోగం కింది విధంగా ఉంది:
ఫ్యామిలీని మిస్ అవుతున్నా: కుమార్తెతో వార్నర్ సందడి,ఫ్యామిలీని మిస్ అవుతున్నా: కుమార్తెతో వార్నర్ సందడి
జేసీ దివాకర్ రెడ్డి మాటలు నిజం కానున్నాయా?,జేసీ దివాకర్ రెడ్డి మాటలు నిజం కానున్నాయా?
సీరియస్ గా ఉన్న రాష్ట్రపతి సతీమణి ఆరోగ్యం,సీరియస్ గా ఉన్న రాష్ట్రపతి సతీమణి ఆరోగ్యం
కోర్టు హాలులో పాము కాటు - న్యాయమూర్తి తప్పిన ప్రమాదం,కోర్టు హాలులో పాము కాటు - న్యాయమూర్తి తప్పిన ప్రమాదం
ఏపీ శాసనసభ తొలి సమావేశాల విశేషాలు,ఏపీ శాసనసభ తొలి సమావేశాల విశేషాలు
మగవాళ్ళకు గర్భ నిరోధక మందును కనిపెట్టిన భారత్,మగవాళ్ళకు గర్భ నిరోధక మందును కనిపెట్టిన భారత్
ప్రతిభతో పాటు అదృష్టం ఉంటేనే రాణిస్తారు,ప్రతిభతో పాటు అదృష్టం ఉంటేనే రాణిస్తారు
ఈ వేసవి మూసివేయబడింది ఫ్యాషన్ ఈత దుస్తుల తిరిగి,ఈ వేసవి మూసివేయబడింది ఫ్యాషన్ ఈత దుస్తుల తిరిగి
ఐబీఎంతో చేతులు కలిపిన తెలంగాణ ప్రభుత్వం,ఐబీఎంతో చేతులు కలిపిన తెలంగాణ ప్రభుత్వం
సహాయ కార్యక్రమాలను కోసం పర్ఫెక్ట్ రంగు బ్లష్,సహాయ కార్యక్రమాలను కోసం పర్ఫెక్ట్ రంగు బ్లష్
"మోనాల్ సేవ్, కుమార్ సాయి ఎలిమినేషన్","మోనాల్ సేవ్, కుమార్ సాయి ఎలిమినేషన్"
నేను గృహ వ్యాపార ఖర్చులు తీసివేయగలనా?,నేను గృహ వ్యాపార ఖర్చులు తీసివేయగలనా?
తుంకుంటలో భూ వినియోగం కింది విధంగా ఉంది:,తుంకుంటలో భూ వినియోగం కింది విధంగా ఉంది:
సుప్రీం తీర్పుతో భావోద్వేగానికి గురైన జాఫర్,సుప్రీం తీర్పుతో భావోద్వేగానికి గురైన జాఫర్
నిర్మలా సీతారామన్ ఇటీవలే ఆర్థికమంత్రిగా బాధ్యతలు స్వీకరించారు,నిర్మలా సీతారామన్ ఇటీవలే ఆర్థికమంత్రిగా బాధ్యతలు స్వీకరించారు
పశ్చిమ గోదావరి జిల్లా పట్టెంపాలెం ఎంపీపీ పాఠశాలలో ఘటన,పశ్చిమ గోదావరి జిల్లా పట్టెంపాలెం ఎంపీపీ పాఠశాలలో ఘటన
"మకరరాశి: విందులు, అలసట, అనవసర ఆలోచనలు, తండ్రి తరపు వారితో లాభం, పనుల్లో వేగం, పనిచేసేచోట అనుకూలత,","మకరరాశి: విందులు, అలసట, అనవసర ఆలోచనలు, తండ్రి తరపు వారితో లాభం, పనుల్లో వేగం, పనిచేసేచోట అనుకూలత,"
రేపటినుంచి తిరిగి ప్రారంభం కానున్న బోటు వెలికితీత పనులు!,రేపటినుంచి తిరిగి ప్రారంభం కానున్న బోటు వెలికితీత పనులు!
షమ్నాపూర్లో భూ వినియోగం కింది విధంగా ఉంది:,షమ్నాపూర్లో భూ వినియోగం కింది విధంగా ఉంది:
దక్షిణ మధ్య రైల్వేకు జీఎస్టీ అవార్డు,దక్షిణ మధ్య రైల్వేకు జీఎస్టీ అవార్డు
నెహ్రూ-గాంధీ కుటుంబంపై అభ్యంతరకర సమాచారాన్ని షేర్ చేసిన పాయల్,నెహ్రూ-గాంధీ కుటుంబంపై అభ్యంతరకర సమాచారాన్ని షేర్ చేసిన పాయల్
మరోసారి పొడిగింపు ఉండదని అధికారుల స్పష్టీకరణ,మరోసారి పొడిగింపు ఉండదని అధికారుల స్పష్టీకరణ
"ఎన్నో విమర్శలు, అవమానాలు ఎదుర్కోవాల్సి వస్తుంది","ఎన్నో విమర్శలు, అవమానాలు ఎదుర్కోవాల్సి వస్తుంది"
- సంబంధిత భూభాగంలో ఉన్న నిర్వహణ తోటపని అంశాలను;,- సంబంధిత భూభాగంలో ఉన్న నిర్వహణ తోటపని అంశాలను;
సాయి భక్తుల విదేశీ నిధులుపై దర్యాప్తు కోరుతున్న శంకరాచార్య,సాయి భక్తుల విదేశీ నిధులుపై దర్యాప్తు కోరుతున్న శంకరాచార్య
కోహ్లీ అంటే బీసీసీఐకి ఎంత ముద్దో!,కోహ్లీ అంటే బీసీసీఐకి ఎంత ముద్దో!
"వడ్డీ సబ్సిడీ, సావరిన్ పేటెంట్ ఫండ్, క్రెడిట్ గ్యారెంటీ స్కీమ్ వంటి వాటిని ప్రతిపాదించిన రవి శంకర్ ప్రసాద్","వడ్డీ సబ్సిడీ, సావరిన్ పేటెంట్ ఫండ్, క్రెడిట్ గ్యారెంటీ స్కీమ్ వంటి వాటిని ప్రతిపాదించిన రవి శంకర్ ప్రసాద్"
"విడుదల చేయండి, కేంద్ర జలవనరుల మంత్రికి వినతులు","విడుదల చేయండి, కేంద్ర జలవనరుల మంత్రికి వినతులు"
"పట్టపగలు అతి సమీప పోలీసు కాల్పులను తప్పించుకున్న గొలుసు దొంగలు,","పట్టపగలు అతి సమీప పోలీసు కాల్పులను తప్పించుకున్న గొలుసు దొంగలు,"
స్కూలు ఫీజు చెల్లించలేక సెల్ఫీ తో సూసైడ్ నోట్,స్కూలు ఫీజు చెల్లించలేక సెల్ఫీ తో సూసైడ్ నోట్
"పవన్ మద్దతా, సొంతంగా బరిలోకి దిగుతారా?","పవన్ మద్దతా, సొంతంగా బరిలోకి దిగుతారా?"
కోరకనే వరాలిచ్చి కొండంత వెలుగు నిచ్చి,కోరకనే వరాలిచ్చి కొండంత వెలుగు నిచ్చి
పుష్ప సినిమాలో ఆ పాత్రలో కనిపించబోతున్న సునీల్,పుష్ప సినిమాలో ఆ పాత్రలో కనిపించబోతున్న సునీల్
