Input Sentences,Output Sentences,Grammatical Error
ఏదో ఇవ్వాలి కానుక ఎంతో వెతికాను ఆశగా,ఏదో ఇవ్వాలి కానుక ఎంతో వెతికాను ఆశగా,0
బాలీవుడ్ హీరో బర్త్ డే కానుకగా జక్కన్న ట్రీట్,బాలీవుడ్ హీరో బర్త్ డే కానుకగా జక్కన్న ట్రీట్,0
తెలంగాణ రాష్ట్ర పారిశ్రామిక మౌలిక సదుపాయల సంస్థ,తెలంగాణ రాష్ట్ర పారిశ్రామిక మౌలిక సదుపాయాల సంస్థ,1
"ఇది అన్ని ప్రాంతాలలో అబ్ఖజియా లో ""దాడి"" ప్రాంరభమవుతుంది:","ఇది అన్ని ప్రాంతాలలో అబ్ఖజియా లో ""దాడి"" ప్రారంభమవుతుంది:",1
సీఎం క్యాంపు కార్యాలయం ముందు ఆత్మహత్యాయత్నం,సీఎం జగన్ క్యాంపు కార్యాలయం ముందు ఆత్మహత్యాయత్నం,1
గున్న ఏనుగు తెలివికి ఖంగుతిన్న అిధకారులు!,గున్న ఏనుగు తెలివికి ఖంగుతిన్న అధికారులు!,1
నల్గొండ బయటపడ్డ నిత్య పెళ్లికొడుకు వయ్యవహారం,నల్గొండ బయటపడ్డ నిత్య పెళ్లికొడుకు వ్యవహారం,1
పవర్ స్టార్ పవన్ కళ్యాణ్ రీ ఎంట్రీ మూవీ వకీల్ సాబ్,పవర్ స్టార్ పవన్ కళ్యాణ్ రీ ఎంట్రీ మూవీ వకీల్ సాబ్,0
కరోనా కోరల్లో చఅిక్కుకున్న అనేక దేశాలు,కరోనా కోరల్లో చిక్కుకున్న అనేక దేశాలు,1
భూ సిద్దనకిచ్చాయపల్లెలో వినియోగం కింది విధంగా ఉంది:,సిద్దనకిచ్చాయపల్లెలో భూ వినియోగం కింది విధంగా ఉంది:,1
మురళీ మోహనరావు అప్పుడు అప్పుడు కో డైరెక్టర్,మురళీ మోహనరావు అప్పుడు కో డైరెక్టర్,1
రాజా వ్యాఖ్యలను సమర్థించలేదని తాను స్పష్టీకరణ,రాజా వ్యాఖ్యలను తాను సమర్థించలేదని స్పష్టీకరణ,1
"క్రింది ఫోటో లో సెక్రటరీ జనార్దన్ రెడ్డి, ట్రెజరర్ నాగ భూషణ్, ఆంధ్ర బ్యాంక్ మేనేజర్, ప్రెసిడెంట్ కొండేటి","క్రింది ఫోటో లో సెక్రటరీ జనార్దన్ రెడ్డి, ట్రెజరర్ నాగ భూషణ్, ఆంధ్ర బ్యాంక్ మేనేజర్, ప్రెసిడెంట్ సురేష్ కొండేటి",1
తుళ్లూరు సిఐ ధర్మేంద్ర బాబుపై,తుళ్లూరు సిఐ ధర్మేంద్ర బాబుపై వేటు,1
సద్గురుడు వ్రాసెనాడు నా - తండ్రి - నీరూపు నీచక్కన,సద్గురుడు వ్రాసెనాడు - నా తండ్రి - నీరూపు నీచక్కన,1
ఉండ్రుకుడియాలో భూ వినియోగం కింది విధంగా ఉంది:,ఉండ్రుకుడియాలో భూ వినియోగం కింది విధంగా ఉంది:,0
