Input Sentences,Output Sentences,Grammatical Error
लोगों को बिमलों संबंधी सुविधा देना ही उनका काम,लोगों को बिलों संबंधी सुविधा देना ही उनका काम,1
जहां आई थी तबाही उस घाटी क्षेत्र में जहां खतरा ज्यादा,जहां आई थी तबाही उस घाटी क्षेत्र में खतरा ज्यादा,1
प्रियंका माहेशवरी ने किया है एमबीए,प्रियंका माहेश्वरी ने किया है एमबीए,1
आईआईएम अहमदाबाद के साथ एमओयू करने तैयारी की में सरकार,आईआईएम अहमदाबाद के साथ एमओयू करने की तैयारी में सरकार,1
"- जयराम, प्रभारी, थाना हसनपुर","- जयराम, थाना प्रभारी, हसनपुर",1
नदी नालों कि की जा राहीं है जिओ टैगिंग,नदी नालों कि की जा रहीं है जिओ टैगिंग,1
व्यापार मंडल ने किया विरोध ऐलान का,व्यापार मंडल ने किया विरोध का ऐलान,1
इस का शख्स काम देखकर हर कोई हैरान,इस शख्स का काम देखकर हर कोई हैरान,1
पेटीएम बैं कभारतीय बैंकों की तरह करेगा काम,पेटीएम बैंक भारतीय बैंकों की तरह करेगा काम,1
"-स्कूल, कॉलेज, कार्यालय लोगों में को जीका वायरस के प्रति जागरूक किया जाए","-स्कूल, कॉलेज, कार्यालय में लोगों को जीका वायरस के प्रति जागरूक किया जाए",1
गानों समाज से को दिशा दे रहे हैं जबलपुर जिले के डबल चौधरी,गानों से समाज को दिशा दे रहे हैं जबलपुर जिले के डबल चौधरी,1
चार लोगों ने खरीदा मिलकर,चार लोगों ने मिलकर खरीदा,1
हिंदी बिहार न्यूज़ किशनगंज: शहरी क्षेत्र में आवश्यक सेवाओं को छोड़कर सभी दुकानें रहीं बंद,हिंदी न्यूज़ बिहार किशनगंज: शहरी क्षेत्र में आवश्यक सेवाओं को छोड़कर सभी दुकानें रहीं बंद,1
-दो सप्ताह में जुर्माना जमा नहीं करने पर भेजी जाएगी चार्जशीट,-दो सप्ताह में जुर्माना जमा नहीं करने पर भेजी जाएगी चार्जशीट,0
जीवन प्रमाण -डिजिटल फॉर लाइफ सर्टिफिकेट फॉर पेंशनर्स,जीवन प्रमाण -डिजिटल लाइफ सर्टिफिकेट फॉर पेंशनर्स,1
"बागइकों में फर्जी नंबर प्लेट लगा करते थे लूटपाट, सरगना समेत तीन गिरफ्तार","बाइकों में फर्जी नंबर प्लेट लगा करते थे लूटपाट, सरगना समेत तीन गिरफ्तार",1
गांधी जीने ताम्रपत्र से नवाजा था,गांधी जी ने ताम्रपत्र से नवाजा था,1
साज िशकर्ताओं के खिलाफ कार्रवाई करे पाक : भारत-अमेरिका,साजिशकर्ताओं के खिलाफ कार्रवाई करे पाक : भारत-अमेरिका,1
इंग्लैंड और न्यूजीलैंड के बीच पहला सेमीफाइनल ुमकाबला कुछ देर बाद,इंग्लैंड और न्यूजीलैंड के बीच पहला सेमीफाइनल मुकाबला कुछ देर बाद,1
सलमान अब खान नहीं साइन करेंगे अब कोई फिल्म!,सलमान खान नहीं साइन करेंगे अब कोई फिल्म!,1
एक नार्वेजियन वीज़ा प्राप्त करने के लिए सामान्य नियम,एक नार्वेजियन वीज़ा प्राप्त करने के लिए सामान्य नियम,0
असमंजस के बेरा निरनय लेना सिखोही,असमंजस के बेरा तोला निरनय लेना सिखोही,1
"बल्लेबाजी सुधारने शास्त्री की शरण में धोनी, दस मैचों में नहीं चला है बल्ला","बल्लेबाजी सुधारने शास्त्री की शरण में धोनी, दस मैचों में नहीं चला है बल्ला",0
मोड़ बना खूनी चौक : रजनीश कुमार,घरोटा मोड़ बना खूनी चौक : रजनीश कुमार,1
तिथियों में आदिवासी समाज धूमधाम से मनाएगा दीपावली,अलग-अलग तिथियों में आदिवासी समाज धूमधाम से मनाएगा दीपावली,1
"जाम के झाम मंे फंसा शहर, राहगीरों को मुसीबत","जाम के झाम में फंसा शहर, राहगीरों को मुसीबत",1
हाई रिजोल्यून तस्वीर लेने में सक्षम,हाई रिजोल्यूशन तस्वीर लेने में सक्षम,1
लिए वेल्की ापैट्रिक से भिड़ेगा।,लिए वेल्की पैट्रिक से भिड़ेगा।,1
