Input Sentences,Output Sentences
हिंदी न्यूज़ बिहार सुपौल जिले हर सातवां बच्चा है कुपोषण का शिकार,हिंदी न्यूज़ बिहार सुपौल जिले में हर सातवां बच्चा है कुपोषण का शिकार
"विवि अपनी बढ़ाएं, आय जरूरत पड़े तो बैंक से कर्ज लें, सरकार लेगी गारंटी","विवि अपनी आय बढ़ाएं, जरूरत पड़े तो बैंक से कर्ज लें, सरकार लेगी गारंटी"
"संत कबीर नगर में ारिश से जलजमाव, आवागमन में दिक्कत","संत कबीर नगर में बारिश से जलजमाव, आवागमन में दिक्कत"
चोरी व लूट करने वाले दो बदमाश गिरफ्तार,चोरी व लूट करने वाले दो बदमाश गिरफ्तार
क्या आपको कपड़े रखने के लिए मिलते हैं।,क्या आपको कपड़े रखने के लिए मिलते हैं।
"डीसीा-एसडीएम कार्यालय में करना होगा आवेदन, ग्रीन जोन से जाने वालों को ही मिलेगी अनुमति","डीसी-एसडीएम कार्यालय में करना होगा आवेदन, ग्रीन जोन से जाने वालों को ही मिलेगी अनुमति"
सदर अस्पताल में कोरोना जांच में परेशानी,सदर अस्पताल में कोरोना जांच में परेशानी
समुद्र में खो जी दल को अब तक कॉकपिट वॉइस रिकॉर्डर नहीं मिला,समुद्र में खोजी दल को अब तक कॉकपिट वॉइस रिकॉर्डर नहीं मिला
इन राज्यों में छटपुट बारिश,इन राज्यों में छिटपुट बारिश
"निमकी मुखिया का प्रमोशन, अब दिखेंगी विधायक के किरदार में","निमकी मुखिया का प्रमोशन, अब दिखेंगी विधायक के किरदार में"
-डीजल चोरी पकड़े जाने के भय से ड्राइविं के लिए नहीं हो रहे तैयार,-डीजल चोरी पकड़े जाने के भय से ड्राइविंग के लिए नहीं हो रहे तैयार
भको्तों का लग गया तांता,भक्तों का लग गया तांता
राज्यसभा में फोन से रिकॉर्डिंग के खिलाफ सभापति ने दी चेतावनी,राज्यसभा में फोन से रिकॉर्डिंग के खिलाफ सभापति ने दी चेतावनी
प्रदेश के वैट कम होने के यह बाद होगी नई दरें,प्रदेश के वैट कम होने के बाद यह होगी नई दरें
आवासों में घटिया सामग्री लगते देख भड़के नोडल अधिकारी,आवासों में घटिया सामग्री लगते देख भड़के नोडल अधिकारी
"खंडहर बनी थर्मल प्लांट की नूहों कालोनी, टूटे, दरवाजे खिड़कियां भी गायब","खंडहर बनी थर्मल प्लांट की नूहों कालोनी, दरवाजे टूटे, खिड़कियां भी गायब"
हिंदी न्यूज़ उत्तर प्रदेश मुरादाबाद रामपुर के पास टूटी पटरी से गुजर गई पंजाब मेल,हिंदी न्यूज़ उत्तर प्रदेश मुरादाबाद रामपुर के पास टूटी पटरी से गुजर गई पंजाब मेल
गाजा पट्टी के उत्तरी क्षेत्र के निवासियों ने सोमवार शाम विस्फोटों की आवाज सुनी।,गाजा पट्टी के उत्तरी क्षेत्र के निवासियों ने सोमवार शाम विस्फोटों की आवाज सुनी।
सिफारिश नहीं मानी तो रुकवा दूंगा एएमयू को मिलने वाली सरकारी मदद: कठेरिया,सिफारिश नहीं मानी तो रुकवा दूंगा एएमयू को मिलने वाली सरकारी मदद: कठेरिया
अब लग रहा मौत का इंजेक्शन,अब भी लग रहा मौत का इंजेक्शन
इस्तीफे की खबर लीक होने की जांच हो : यशवंत सिन्हा,इस्तीफे की खबर लीक होने की जांच हो : यशवंत सिन्हा
मार्च महीने में भी तेजी रही तेजी,मार्च महीने में भी रही तेजी
उत्तर कोरिया ने अमेरिका को दी  परमाणु हमले की धमकी,उत्तर कोरिया ने अमेरिका को दी परमाणु हमले की धमकी
विकास का दूसरा नामक हरियाणाः कैप्टन अजय,विकास का दूसरा नाम हरियाणाः कैप्टन अजय
में राजस्थान नियुक्तियों को लेकर गोविंद डोटासरा ने की सोनिया गांधी से मुलाकात,राजस्थान में नियुक्तियों को लेकर गोविंद डोटासरा ने की सोनिया गांधी से मुलाकात
हिंदी न्यूज़ उत्तर प्रदेश अमरोहा खाद्य सुरक्षा एवं औषधि विभाग ने की छापामार कार्रवाई,हिंदी न्यूज़ उत्तर प्रदेश अमरोहा खाद्य सुरक्षा एवं औषधि विभाग ने की छापामार कार्रवाई
इशरत होने मामले की फाइल गायब होने की जांच शुरू,इशरत मामले की फाइल गायब होने की जांच शुरू
पुत्र के अपमा नसे आहत पिता ने दी जान,पुत्र के अपमान से आहत पिता ने दी जान
मातम पिकनिक में बदली पिकनिक की मौज,मातम में बदली पिकनिक की मौज
बिना मास्क नहीं होंगे माता मनसा माता के दर्शन,बिना मास्क नहीं होंगे माता मनसा के दर्शन
तीनों पुतलों को जला कर करतेख ाक,तीनों पुतलों को जला कर करते खाक
अजय देवगन की फिल्म बादशाहों का ट्रेलर हुआ रिलीज,अजय देवगन की फिल्म बादशाहों का ट्रेलर हुआ रिलीज
"आएगी खुशियों की बलहार, मिलेगी आपको सफलता","आएगी खुशियों की बहार, मिलेगी आपको सफलता"
चार मौत की सूचना से मागा कोडर में से मातम,चार मौत की सूचना से मागा कोडर में मातम
कश्मीरी जनता के गुस्से ेस डरे गिलानी,कश्मीरी जनता के गुस्से से डरे गिलानी
दो डाघकरों में डिजिटल इंडिया वीक की तैयारी,दो डाकघरों में डिजिटल इंडिया वीक की तैयारी
दोषियों पर कड़ी होगी कार्रवाई,दोषियों पर कड़ी कार्रवाई होगी
तुलसी और काली मिर्च का काढ़ा,तुलसी और काली मिर्च का काढ़ा
हिंदी न्यूज़ उत्तर प्रदेश बीबीएयू लखनऊ कैम्पस प्लेसमेन्ट में आठ छात्रों का चयन,हिंदी न्यूज़ उत्तर प्रदेश लखनऊ बीबीएयू कैम्पस प्लेसमेन्ट में आठ छात्रों का चयन
