Input Sentences,Output Sentences
২য়টা মজার কিন্তু শেষটা ভয়ংকর,২য়টা মজার কিন্তু শেষটা ভয়ংকর
"আপডেট: ২৪ নভেম্বর, ২০২১, ১৫:০৪","আপডেট: ২৪ নভেম্বর, ২০২১, ১৫:০৪"
কাজী ফাতেমা ছবি বলেছেন: মাশাআল্লাহ কী সুন্দর মন্তব্য। মন ভরে গেলো,কাজী ফাতেমা ছবি বলেছেন: মাশাআল্লাহ কী সুন্দর মন্তব্য। মন ভরে গেলো
"০২ রা জানুয়ারি, ২০১৭  দুপুর ২:১৩","০২ রা জানুয়ারি, ২০১৭  দুপুর ২:১৩"
কুষ্টিয়ায় আগ্নেয়াস্ত্র ও গুলিসহ অস্ত্র ব্যবসায়ী আটক,কুষ্টিয়ায় আগ্নেয়াস্ত্র ও গুলিসহ অস্ত্র ব্যবসায়ী আটক
"চাঁদপুরের কচুয়ায় ভূঁইয়া উচ্চ বিদ্যালয়ে যুবলীগের হামলা, আহত ৫০","চাঁদপুরের কচুয়ায় ভূঁইয়া উচ্চ বিদ্যালয়ে যুবলীগের হামলা, আহত ৫০"
"কে কত ভোগে ডুবে, কার কত পুঁজি বাড়ে?","কে কত ভোগে ডুবে, কার কত পুঁজি বাড়ে?"
"প্রকাশিত: ১০:৩৫, ২৬ নভেম্বর ২০২১   আপডেট: ১২:১২, ২৬ নভেম্বর ২০২১","প্রকাশিত: ১০:৩৫, ২৬ নভেম্বর ২০২১   আপডেট: ১২:১২, ২৬ নভেম্বর ২০২১"
"প্রসঙ্গত, এবার বাংলাদেশ থেকে এক  লাখ এক হাজার ৭৮০ হজযাত্রীর হজে যাওয়ার কথা রয়েছে।","প্রসঙ্গত, এবার বাংলাদেশ থেকে এক  লাখ এক হাজার ৭৮০ হজযাত্রীর হজে যাওয়ার কথা রয়েছে।"
টিউলিপের দাবিতে পাল্টাল ব্রিটিশ বিধি,টিউলিপের দাবিতে পাল্টাল ব্রিটিশ বিধি
রাজধানীর কোরবানির পশুবর্জ্য রোববারের মধ্যেই অপসারণের প্রস্তুতি নিয়েছে ঢাকার দুই সিটি করপোরেশন।,রাজধানীর কোরবানির পশুবর্জ্য রোববারের মধ্যেই অপসারণের প্রস্তুতি নিয়েছে ঢাকার দুই সিটি করপোরেশন।
"আপডেট: ১৬ মার্চ, ২০১৫, ১৭:১২","আপডেট: ১৬ মার্চ, ২০১৫, ১৭:১২"
মোঃ দেলোয়ার হোসেন এর করা প্রশ্নগুচ্ছ,মোঃ দেলোয়ার হোসেন এর করা প্রশ্নগুচ্ছ
আরো ভালোভাবে বিষয়গুলো সম্পর্কে ধারণা আরো স্পষ্ট করতে এই ইউটিউব টিউটোরিয়ালটির সাহায্য নিন -,আরো ভালোভাবে বিষয়গুলো সম্পর্কে ধারণা আরো স্পষ্ট করতে এই ইউটিউব টিউটোরিয়ালটির সাহায্য নিন -
আরটিএম আল-কবির টেকনিক্যাল ইউনিভার্সিটি-তে বাংলাদেশ বিশ্ববিদ্যালয় মঞ্জুরী কমিশন অনুমোদিত নিম্নোক্ত বিষয়সমূহে পাঠদান করা হয়:,আরটিএম আল-কবির টেকনিক্যাল ইউনিভার্সিটি-তে বাংলাদেশ বিশ্ববিদ্যালয় মঞ্জুরী কমিশন অনুমোদিত নিম্নোক্ত বিষয়সমূহে পাঠদান করা হয়:
"আসাদুজ্জামান বিডিনিউজ টোয়েন্টিফোর ডটকমকে বলেন, “মঙ্গলবার সকালে এই পাঁচটি ভোটের তালিকা থেকে বাদ যায়।","আসাদুজ্জামান বিডিনিউজ টোয়েন্টিফোর ডটকমকে বলেন, “মঙ্গলবার সকালে এই পাঁচটি ভোটের তালিকা থেকে বাদ যায়।"
"২৯ শে আগস্ট, ২০০৯  বিকাল ৫:৪১","২৯ শে আগস্ট, ২০০৯  বিকাল ৫:৪১"
"বিবর্তনবাদ অজাচারকে ইংগিত করেঃ মায়ের সাথে ছেলের, বাবার সাথে মেয়ের এবং ভাইয়ের সাথে বোনের।","বিবর্তনবাদ অজাচারকে ইংগিত করেঃ মায়ের সাথে ছেলের, বাবার সাথে মেয়ের এবং ভাইয়ের সাথে বোনের।"
হেয়াকো বনানী উচ্চ বিদ্যালয় বাংলাদেশের চট্টগ্রাম জেলার একটি শিক্ষাপ্রতিষ্ঠান।,হেয়াকো বনানী উচ্চ বিদ্যালয় বাংলাদেশের চট্টগ্রাম জেলার একটি শিক্ষাপ্রতিষ্ঠান।
মরুভূমির জলদস্যু বলেছেন: আমি প্রথম কোনটা পড়েছি মনে নেই একেবারেই।,মরুভূমির জলদস্যু বলেছেন: আমি প্রথম কোনটা পড়েছি মনে নেই একেবারেই।
"""কেমন লাগছে জেরোমিল? কি মনে হচ্ছে? পছন্দ হয়েছে তোমার?"" ধৈর্য্যের বাধ ভেঙে জিজ্ঞেস করলো মা।","""কেমন লাগছে জেরোমিল? কি মনে হচ্ছে? পছন্দ হয়েছে তোমার?"" ধৈর্য্যের বাধ ভেঙে জিজ্ঞেস করলো মা।"
মেশিনে নয় হাতে ভোট পুনর্গণনার পক্ষে হিলারি,মেশিনে নয় হাতে ভোট পুনর্গণনার পক্ষে হিলারি
"দুবাই, আবুধাবিতে ১৩ জুলাই থেকে বিমানের বাণিজ্যিক ফ্লাইট চালু","দুবাই, আবুধাবিতে ১৩ জুলাই থেকে বিমানের বাণিজ্যিক ফ্লাইট চালু"
ত্রাণ প্রকল্প মুসলিমদের কথা ভেবে তৈরি হয়নি,ত্রাণ প্রকল্প মুসলিমদের কথা ভেবে তৈরি হয়নি
"ভিনধর্মে বিয়ে, অনার কিলিংয়ের শিকার গর্ভবতী","ভিনধর্মে বিয়ে, অনার কিলিংয়ের শিকার গর্ভবতী"
"“কি সাগর বাবা, তোমার তোমাদের হারানো কুকুরটার জন্য মায়া লাগছে খুব, তাই না”","“কি সাগর বাবা, তোমার তোমাদের হারানো কুকুরটার জন্য মায়া লাগছে খুব, তাই না”"
"আনাস ইবন মালেক রাদিয়াল্লাহু আনহু থেকে বর্ণিত, নবী করীম সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেন","আনাস ইবন মালেক রাদিয়াল্লাহু আনহু থেকে বর্ণিত, নবী করীম সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেন"
যোগ্যতাসম্পন্ন প্রার্থীদের আবেদনের ঘটনা নজিরবিহীন বলেই মনে করছেন সরকারি কর্মকর্তারা।,যোগ্যতাসম্পন্ন প্রার্থীদের আবেদনের ঘটনা নজিরবিহীন বলেই মনে করছেন সরকারি কর্মকর্তারা।
সম্প্রতি কি সিনেমা দেখলাম : শেয়ার করুন আপনার দেখা লেটেস্ট সিনেমাটি,সম্প্রতি কি সিনেমা দেখলাম : শেয়ার করুন আপনার দেখা লেটেস্ট সিনেমাটি
পুলিশ গিয়ে মরদেহ উদ্ধার করে ময়নাতদন্তের জন্য মর্গে পাঠায়।,পুলিশ গিয়ে মরদেহ উদ্ধার করে ময়নাতদন্তের জন্য মর্গে পাঠায়।
"প্রকাশ : ০৫ ডিসেম্বর ২০২১, ১৯:২৬ আপডেট : ০৫ ডিসেম্বর ২০২১, ১৯:৪২","প্রকাশ : ০৫ ডিসেম্বর ২০২১, ১৯:২৬ আপডেট : ০৫ ডিসেম্বর ২০২১, ১৯:৪২"
ফারজানা যুক্তরাজ্যের দক্ষিণ পূর্ব লন্ডনে জন্মগ্রহণ করেন। তিনি লন্ডনের ব্রিট স্কুল-এ পড়াশুনা করেন।,ফারজানা যুক্তরাজ্যের দক্ষিণ পূর্ব লন্ডনে জন্মগ্রহণ করেন। তিনি লন্ডনের ব্রিট স্কুল-এ পড়াশুনা করেন।
'নীল রঙের। হলুদ রঙের ব্লাউজ। সবুজ রঙের ছাতা।','নীল রঙের। হলুদ রঙের ব্লাউজ। সবুজ রঙের ছাতা।'
কোর্টে এসে গিয়েছেন সিন্ধু এবং তাই।,কোর্টে এসে গিয়েছেন সিন্ধু এবং তাই।
সাহিনুর বলেছেন: খুবই দারুন খবর এটি শুভকামনা রইলো সবার জন্য,সাহিনুর বলেছেন: খুবই দারুন খবর এটি শুভকামনা রইলো সবার জন্য
ক্রিমচাক ইউক্রেনের ক্রিমীয় উপদ্বীপে ব্যবহৃত হতো।,ক্রিমচাক ইউক্রেনের ক্রিমীয় উপদ্বীপে ব্যবহৃত হতো।
"প্রকাশ : ২৪ নভেম্বর ২০২১, ১৪:৪৪ আপডেট : ২৫ নভেম্বর ২০২১, ০৯:৩৬","প্রকাশ : ২৪ নভেম্বর ২০২১, ১৪:৪৪ আপডেট : ২৫ নভেম্বর ২০২১, ০৯:৩৬"
তিন ইসলামিক গান নিয়ে আরফিন রুমি,তিন ইসলামিক গান নিয়ে আরফিন রুমি
-এমন তো তোমার কাছ থেকে আশা যায় না ।,-এমন তো তোমার কাছ থেকে আশা যায় না ।
"আপডেট : ১০ নভেম্বর, ২০২১ ২১:৩২","আপডেট : ১০ নভেম্বর, ২০২১ ২১:৩২"
মানহানির মামলায় জামিন পেলেন মইনুল হোসেন,মানহানির মামলায় জামিন পেলেন মইনুল হোসেন
"বিষয়বস্তু: পূর্ব এশিয়া, ভিয়েতনাম, নাগরিক মাধ্যম, প্রচার মাধ্যম ও সাংবাদিকতা, প্রযুক্তি, রাজনীতি","বিষয়বস্তু: পূর্ব এশিয়া, ভিয়েতনাম, নাগরিক মাধ্যম, প্রচার মাধ্যম ও সাংবাদিকতা, প্রযুক্তি, রাজনীতি"
সুতরাং রায়চৌধুরী সমীকরণের আরেকটি রূপ হলো:,সুতরাং রায়চৌধুরী সমীকরণের আরেকটি রূপ হলো:
কোন মেঘবিধুর জলে রাতের ভেলায়  মিশে যাই,কোন মেঘবিধুর জলে রাতের ভেলায়  মিশে যাই
ইসলামী ব্যাংকের শরিয়াহ পরিপালনবিষয়ক ওয়েবিনার,ইসলামী ব্যাংকের শরিয়াহ পরিপালনবিষয়ক ওয়েবিনার
বন্ডসুবিধা: অনিয়মই যেন নিয়ম হইয়াছে!,বন্ডসুবিধা: অনিয়মই যেন নিয়ম হইয়াছে!
বিবৃতিতে এই দুঃখজনক সময়ে ইতালি ও এর জনগণের পাশে দাঁড়ানোর কথা ব্যক্ত করা হয়।,বিবৃতিতে এই দুঃখজনক সময়ে ইতালি ও এর জনগণের পাশে দাঁড়ানোর কথা ব্যক্ত করা হয়।
মাদক নেওয়ার ব্যাপারে দীপিকার সরল স্বীকারোক্তি!,মাদক নেওয়ার ব্যাপারে দীপিকার সরল স্বীকারোক্তি!
সার্চ ইঞ্জিন অপটিমাইজেশন নিয়ে ক্যারিয়ার গড়তে চাইলে।,সার্চ ইঞ্জিন অপটিমাইজেশন নিয়ে ক্যারিয়ার গড়তে চাইলে।
মোবাইল ইন্টারনেটের গতিতে কেন পিছিয়ে,মোবাইল ইন্টারনেটের গতিতে কেন পিছিয়ে
"ভয় পেয়ে রুখে দাঁড়িয়েছে, দরজা আটকে আমাকে রেখেছে","ভয় পেয়ে রুখে দাঁড়িয়েছে, দরজা আটকে আমাকে রেখেছে"
সোমবার প্রধান বিচারপতির শপথবাক্য পাঠ করাবেন রাজ্যপাল জগদীপ ধনখড়। উপস্থিত থাকবেন মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়।,সোমবার প্রধান বিচারপতির শপথবাক্য পাঠ করাবেন রাজ্যপাল জগদীপ ধনখড়। উপস্থিত থাকবেন মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়।
