Input Sentences,Output Sentences,Grammatical Error
நிலத்தை அபகரித்ுது இனத்தை அழிக்கும் நிலையை தடுத்து நிறுத்த வேண்டும்! - கஜேந்திரகுமார்,நிலத்தை அபகரித்து இனத்தை அழிக்கும் நிலையை தடுத்து நிறுத்த வேண்டும்! - கஜேந்திரகுமார்,1
"ஷேக்ஸ்பியர் சகாப்தத்திற்கு தொடர்புடையது - பேஷன், உயர் காலர்ஸ், சதுர வெட்டுக்கள், திறந்த பின்;","ஷேக்ஸ்பியர் சகாப்தத்திற்கு தொடர்புடையது - பேஷன், உயர் காலர்ஸ், சதுர வெட்டுக்கள், திறந்த பின்;",0
அணு ஒப்பணந்தம்: முன்னேற்றம் அடைந்துள்ளதா இரானின் பொருளாதாரம்?,அணு ஒப்பந்தம்: முன்னேற்றம் அடைந்துள்ளதா இரானின் பொருளாதாரம்?,1
இந்தியா முழுவதும் பொது வைஃபை வசதி - மத்திய அமைச்சரவை ஒப்புதல்,இந்தியா முழுவதும் பொது வைஃபை வசதி - மத்திய அமைச்சரவை ஒப்புதல்,0
"சிறப்பு: குலசேகராழ்வார், திருமலையாணடான் திருநட்சத்திரம், முகூர்த்தநாள்","சிறப்பு: குலசேகராழ்வார், திருமலையாண்டான் திருநட்சத்திரம், முகூர்த்தநாள்",1
ஒவ்வோர் அணிக்காகவும் விளையாடுகின்ற வெளிநாட்டு வீரர்களின் பட்டியல் பின்வருமாறு:-,ஒவ்வோர் அணிக்காகவும் விளையாடுகின்ற வெளிநாட்டு வீரர்களின் பட்டியல் பின்வருமாறு:-,0
செவ்வியல் தமிழ் நுால்கள் மொழிபெயர்ப்பு மமு்முரம்,செவ்வியல் தமிழ் நுால்கள் மொழிபெயர்ப்பு மும்முரம்,1
வடில்லியில் அபாய கட்ட காற்று மாசு; பள்ளிகளுக்கு விடுமுறை,டில்லியில் அபாய கட்ட காற்று மாசு; பள்ளிகளுக்கு விடுமுறை,1
இயற்கையின் படைப்பில் அதிசயம்தான் இந்த வலசை போகும் வண்ணத்துப் பூச்சிகள்!,இயற்கையின் படைப்பில் உள்ள அதிசயம்தான் இந்த வலசை போகும் வண்ணத்துப் பூச்சிகள்!,1
டிக்ஓயா ஆதார வைத்தியசாலை புதிய கட்டிடத் தொகுதி  இன்று மக்களிடம் கையளிப்பு,டிக்ஓயா ஆதார வைத்தியசாலை புதிய கட்டிடத் தொகுதி  இன்று மக்களிடம் கையளிப்பு,0
ஊராட்சியில் இந்த அமைந்துள்ள சிற்றூர்களின் பட்டியல்:,இந்த ஊராட்சியில் அமைந்துள்ள சிற்றூர்களின் பட்டியல்:,1
"ரகசிய ஆண்கள், பி விஜயலட்ுசமியின் சிகிச்சை குறிப்புகள்","ரகசிய ஆண்கள், பி விஜயலட்சுமியின் சிகிச்சை குறிப்புகள்",1
"சக்தி மட்டுப்படாமல் இருந்தால், அங்கங்கே தூரத்தில் ஆடு, மாடு மேய்வது","சக்தி மட்டுப்படாமல் இருந்தால், அங்கங்கே தூரத்தில் ஆடு, மாடு மேய்வது",0
விஜயகாந்த்ஜ அலுவலகத்தில் தவம் கிடந்தது ஏன்? - வைகோ கேள்வி,விஜயகாந்த் அலுவலகத்தில் தவம் கிடந்தது ஏன்? - வைகோ கேள்வி,1
இனி வர்ற நாட்கள்ல இன்னும் பல புதிய கேரக்டர்கள் கேரக்டர்கள் உங்களை நெகிழ்த்தவும்,இனி வர்ற நாட்கள்ல இன்னும் பல புதிய கேரக்டர்கள் உங்களை நெகிழ்த்தவும்,1
வீட்டுத் தொழில் சார்ந்த வணிகத்திற்ாகன வரிகளை நான் எவ்வாறு பதிவு செய்வது?,வீட்டுத் தொழில் சார்ந்த வணிகத்திற்கான வரிகளை நான் எவ்வாறு பதிவு செய்வது?,1
