Input Sentences,Output Sentences,Grammatical Error
২য়টা মজার কিন্তু ভয়ংকর,২য়টা মজার কিন্তু শেষটা ভয়ংকর,1
"আপডেট: নভেম্বর, ২৪ ২০২১, ১৫:০৪","আপডেট: ২৪ নভেম্বর, ২০২১, ১৫:০৪",1
কাজী ফাতেমা ভরে ছবি বলেছেন: মাশাআল্লাহ কী সুন্দর মন্তব্য। মন ভরে গেলো,কাজী ফাতেমা ছবি বলেছেন: মাশাআল্লাহ কী সুন্দর মন্তব্য। মন ভরে গেলো,1
"০২ রা জানুয়ারি, দুপুর ২০১৭ ২:১৩","০২ রা জানুয়ারি, ২০১৭  দুপুর ২:১৩",1
কুষ্টিয়ায় আগ্নেয়াস্ত্র ও গুলিসহ ব্যবসায়ী অস্ত্র আটক,কুষ্টিয়ায় আগ্নেয়াস্ত্র ও গুলিসহ অস্ত্র ব্যবসায়ী আটক,1
"চাঁদপুরের কচুয়ায় ভূঁইয়া উচ্চ বিদ্যালয়ে যুবলীগের হামলা, আহত ৫০","চাঁদপুরের কচুয়ায় ভূঁইয়া উচ্চ বিদ্যালয়ে যুবলীগের হামলা, আহত ৫০",0
"কে কত ভগে ডুবে, কার কত পুঁজি বাড়ে?","কে কত ভোগে ডুবে, কার কত পুঁজি বাড়ে?",1
"প্রকাশিত: ১০:৩৫, ২৬ নভেম্বর ২০২১   আপডেট: ১২:১২, ২৬ নভেম্বর ২০২১","প্রকাশিত: ১০:৩৫, ২৬ নভেম্বর ২০২১   আপডেট: ১২:১২, ২৬ নভেম্বর ২০২১",0
"প্রসঙ্গত, এবার বাংলাদেশ থেকে এক  লাখ এক হাজার ৭৮০ জহযাত্রীর হজে যাওয়ার কথা রয়েছে।","প্রসঙ্গত, এবার বাংলাদেশ থেকে এক  লাখ এক হাজার ৭৮০ হজযাত্রীর হজে যাওয়ার কথা রয়েছে।",1
টিউলিপের দাবিতে ব্রিটিশ বিধি,টিউলিপের দাবিতে পাল্টাল ব্রিটিশ বিধি,1
রাজধানীর কোরবানির পশুবর্জ্য রোববারের মধ্যেই অপসারণের প্রস্তুতোি নিয়েছে ঢাকার দুই সিটি করপোরেশন।,রাজধানীর কোরবানির পশুবর্জ্য রোববারের মধ্যেই অপসারণের প্রস্তুতি নিয়েছে ঢাকার দুই সিটি করপোরেশন।,1
"আপডেট: ১৬ মার্চ, ২০১৫, ১৭:১২","আপডেট: ১৬ মার্চ, ২০১৫, ১৭:১২",0
