Input Sentences,Output Sentences,Grammatical Error
കുതരവട്ടം നിന്ന് വിഭവങ്ങൾ - കുതിര മാംസം റോളുകൾ ഒരു പാചകക്കുറിപ്പ്,കുതിരവട്ടം നിന്ന് വിഭവങ്ങൾ - കുതിര മാംസം റോളുകൾ ഒരു പാചകക്കുറിപ്പ്,1
മൈക്രോസോഫ്റ്റ് വേഡ് ഉപയോഗിച്ച് കൺവേർട്ട് ചെയ്യാം,മൈക്രോസോഫ്റ്റ് വേഡ് ഉപയോഗിച്ച് കൺവേർട്ട് ചെയ്യാം,0
അപേക്ഷകരുടെ ജില്ല തിരിച്ചുള്ള കണക്ക് ഇപ്രകാരമാണ്,അപേക്ഷകരുടെ ജില്ല തിരിച്ചുള്ള കണക്ക് ഇപ്രകാരമാണ്,0
ഒരു - വീട് മലയാളീ അസോസിയേഷൻ ഓഫ് നോർത്തേൺ ഫ്ലോറിഡ,ഒരു വീട് - മലയാളീ അസോസിയേഷൻ ഓഫ് നോർത്തേൺ ഫ്ലോറിഡ,1
ആരാധനാലയങ്ങൾ ഉടൻ തുറക്കില്ല; വിശ്വാസികളുടെ മുൻഗണനയെന്ന് മന്ത്രി രാധാകൃഷ്ണൻ,ആരാധനാലയങ്ങൾ ഉടൻ തുറക്കില്ല; വിശ്വാസികളുടെ സുരക്ഷക്കാണ് മുൻഗണനയെന്ന് മന്ത്രി രാധാകൃഷ്ണൻ,1
സെഡാനുകൾക്ക് പുതുമുഖം നൽകാൻ സ്കോഡ സ്ലാവിയ; അവതരണവും ഡെലിവറിയും എന്നെന്ന് അറിയാം,സെഡാനുകൾക്ക് പുതുമുഖം നൽകാൻ സ്കോഡ സ്ലാവിയ; അവതരണവും ഡെലിവറിയും എന്നെന്ന് അറിയാം,0
ചെമ്പരത്തിയിലെ വില്ലത്തി ഗംഗ ചില്ലറക്കാരിയല്ല; പാലക്കാട്ടുകാരിയായ ഹരിത മിസ് കേരള വിജയി,ചെമ്പരത്തിയിലെ വില്ലത്തി ഗംഗ ചില്ലറക്കാരിയല്ല; പാലക്കാട്ടുകാരിയായ ഹരിത മിസ് കേരള വിജയി,0
അശ്വതി ശ്രീകാന്തിന്റെ പോസ്റ്റ് മാധ്യമ ശ്ഭരദ്ധ നേടുന്നു; അഭിപ്രായവുമായി ആരാധകർ!,അശ്വതി ശ്രീകാന്തിന്റെ പോസ്റ്റ് മാധ്യമ ശ്രദ്ധ നേടുന്നു; അഭിപ്രായവുമായി ആരാധകർ!,1
മമ്മൂട്ടിയുടെ നെടുവീർപ്പ് ഉള്ളേറ്റു വാങ്ങുമ്പോൾ പണ്ട് കുറിച്ചത് ഓർത്തിരാിക്കുമോ ചുള്ളിക്കാട്?,മമ്മൂട്ടിയുടെ നെടുവീർപ്പ് ഉള്ളേറ്റു വാങ്ങുമ്പോൾ പണ്ട് കുറിച്ചത് ഓർത്തിരിക്കുമോ ചുള്ളിക്കാട്?,1
"കേരളം മാറുന്നില്ല, തെരഞ്ഞെടുപ്പ് എന്നത് ഇടതിനും-യുഡിഎഫിനും മാറി മാറി വഴിപാടു പോലെ ഭരിക്കുന്നതിനോ ?","കേരളം മാറുന്നില്ല, തെരഞ്ഞെടുപ്പ് എന്നത് ഇടതിനും-യുഡിഎഫിനും മാറി മാറി വഴിപാടു പോലെ ഭരിക്കുന്നതിനോ ?",0
യാത്രക്കാർക്കുള്ള ഭക്ഷണം ജീവനക്കാർക്കെതിരെ നടപടി സ്വീകരിച്ച് എയർ ഇന്ത്യ,യാത്രക്കാർക്കുള്ള ഭക്ഷണം മോഷ്ടിച്ച ജീവനക്കാർക്കെതിരെ നടപടി സ്വീകരിച്ച് എയർ ഇന്ത്യ,1
ഈ രാശിക്കാർ വളരെ സത്യസന്ധരാണ് ആരെയും വഞ്ചിക്കാൻ കഴിയില്ല ഇവർക്ക്,ഈ രാശിക്കാർ വളരെ സത്യസന്ധരാണ് ആരെയും വഞ്ചിക്കാൻ ഇവർക്ക് കഴിയില്ല,1
